Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
2427,333.21939039230347,8.592673218579563,1074.0841523224453,644450491393.4673,378486387.72579783
2430,333.74733781814575,8.611934123942557,1076.4917654928197,645895059295.6918,390482148.69223917
2433,334.0369358062744,8.62249941732146,1077.8124271651825,646687456299.1095,403835274.1360925
2436,334.5988712310791,8.643000293938123,1080.3750367422656,648225022045.3593,414078521.1516619
2439,335.04098296165466,8.659129688240784,1082.391211030098,649434726618.0587,418349714.401199
2442,335.62396931648254,8.680398557939963,1085.0498197424954,651029891845.4972,416138345.2499613
2445,335.85926508903503,8.688982764218109,1086.1228455272637,651673707316.3582,407887870.00839865
2448,336.4907298088074,8.712020251688003,1089.0025314610002,653401518876.6002,394084348.0814593
2451,336.9327733516693,8.728147158324214,1091.0183947905268,654611036874.316,377444068.2399337
2454,337.3230519294739,8.742385543406412,1092.7981929258015,655678915755.4808,364533941.68635786
2457,337.49342942237854,8.748601360751454,1093.5751700939318,656145102056.3591,362289405.0776716
2460,338.0921416282654,8.770443950700367,1096.3054938375458,657783296302.5275,372570193.9251828
2463,338.28598737716675,8.777515951513044,1097.1894939391304,658313696363.4783,390834009.3065803
2466,338.8795657157898,8.799171244532992,1099.896405566624,659937843339.9744,409186437.5140039
2469,339.3294131755829,8.815582858505794,1101.9478573132242,661168714387.9344,420270169.60025483
2472,339.80485010147095,8.832928043248371,1104.1160054060463,662469603243.6279,420150912.4491402
2475,340.33031392097473,8.852098340144872,1106.512292518109,663907375510.8654,410083816.10785913
2478,340.83599948883057,8.870547074600513,1108.818384325064,665291030595.0385,396141977.49669355
2481,341.0732500553131,8.879202596882957,1109.9003246103696,665940194766.2218,385256529.92802083
2484,341.5842113494873,8.897843803657555,1112.2304754571944,667338285274.3167,379860520.1523692
2487,341.85785007476807,8.907826861313104,1113.4783576641382,668087014598.4829,377036857.29594684
2490,342.5323648452759,8.932434927428714,1116.5543659285893,669932619557.1534,374114686.49888426
2493,342.7795441150665,8.941452674821907,1117.6815843527384,670608950611.643,373925399.0410158
2496,343.2065086364746,8.957029459247131,1119.6286824058916,671777209443.5349,382062523.9054539
2499,343.4416010379791,8.965606246016597,1120.7007807520747,672420468451.2448,398646466.81137985
2502,344.0447111129761,8.987609281753445,1123.4511602191806,674070696131.5084,415019674.06460965
2505,344.52896904945374,9.005276280074147,1125.6595350092684,675395721005.561,420273450.8088498
2508,345.1249520778656,9.027019302478088,1128.3774128097612,677026447685.8566,410719005.2026516
2511,345.51722478866577,9.041330438756768,1130.1663048445962,678099782906.7576,392344294.4737828
2514,345.8635652065277,9.05396584464245,1131.7457305803064,679047438348.1837,374924713.1440247
2517,346.23707699775696,9.067592533419939,1133.4490666774925,680069440006.4954,365132360.66910815
2520,346.73439598083496,9.085736032941703,1135.717004117713,681430202470.6278,364414165.74079347
2523,346.9283685684204,9.092812661161904,1136.6015826452383,681960949587.1428,370231572.30259746
2526,347.4767818450928,9.112820214385494,1139.1025267981868,683461516078.912,377645134.7351403
2529,347.8753077983856,9.127359485334347,1140.9199356667934,684551961400.076,381587897.6068759
2532,348.3368806838989,9.14419887355906,1143.0248591948823,685814915516.9293,380074670.08745927
2535,348.7636938095093,9.159770134668912,1144.971266833614,686982760100.1683,375497565.6733254
2538,349.14698028564453,9.173753429562298,1146.7191786952874,688031507217.1724,372010059.6275596
2541,349.4714856147766,9.18559223420128,1148.1990292751602,688919417565.096,371474480.42438227
2544,349.93320393562317,9.202436928288003,1150.3046160360004,690182769621.6002,372723480.84481007
2547,350.4239342212677,9.220340054864433,1152.5425068580541,691525504114.8325,375109366.90496707
2550,350.71925163269043,9.23111400779049,1153.8892509738114,692333550584.2867,381018452.50318253
2553,351.23287630081177,9.24985238142495,1156.2315476781187,693738928606.8711,392409735.89564395
2556,351.36788058280945,9.25477769135521,1156.8472114194012,694108326851.6407,405028213.70486367
2559,352.17055344581604,9.284061300470547,1160.5076625588183,696304597535.291,409203922.7214273
2562,352.6124520301819,9.300182918641017,1162.5228648301272,697513718898.0763,398405321.43597865
2565,353.0703408718109,9.316887903292315,1164.6109879115393,698766592746.9236,375834166.34297884
2568,353.3591468334198,9.327424301468596,1165.9280376835748,699556822610.1448,351762447.8315866
2571,353.79419469833374,9.343295987443978,1167.9119984304973,700747199058.2983,335935164.5788697
2574,354.0456554889679,9.352469935935499,1169.0587419919375,701435245195.1624,332708438.4672216
2577,354.3913767337799,9.365082752766034,1170.6353440957544,702381206457.4525,340457370.6263807
2580,354.80782103538513,9.380275732008958,1172.5344665011196,703520679900.6719,353486469.4521969
2583,355.1213562488556,9.391714318085944,1173.964289760743,704378573856.4458,365639350.3507066
2586,355.7779047489166,9.41566692758246,1176.9583659478076,706175019568.6844,373756721.4045559
2589,355.9551739692688,9.422134173201714,1177.7667716502142,706660062990.1285,377763352.9894568
2592,356.4074320793152,9.438633734011871,1179.8292167514837,707897530050.8904,378095003.84236044
2595,356.98031759262085,9.459534098547234,1182.4417623184042,709465057391.0425,375040373.43611574
2598,357.32881903648376,9.472248344323509,1184.0310430404386,710418625824.2632,370218086.47921574
2601,357.6059811115265,9.48235994300986,1185.2949928762323,711176995725.7395,365780012.04888517
2604,358.1178135871887,9.501032932767712,1187.6291165959642,712577469957.5784,362092400.55070204
2607,358.4785244464874,9.514192610008816,1189.2740762511023,713564445750.6613,358716300.60692793
2610,358.9948592185974,9.533029855337492,1191.6287319171863,714977239150.3119,356938706.65539205
2613,359.13905596733093,9.53829053053934,1192.2863163174177,715371789790.4504,358225066.2122688
2616,359.59050035476685,9.554760404616642,1194.3450505770804,716607030346.2482,360626406.97688377
2619,360.1809937953949,9.576303152475031,1197.037894059379,718222736435.6273,360246479.5332345
2622,360.40234565734863,9.584378648360273,1198.047331045034,718828398627.0205,356682940.18099135
2625,360.95856618881226,9.604671030694334,1200.5838788367919,720350327302.075,354158272.5931145
2628,361.07919573783875,9.609071912702753,1201.1339890878442,720680393452.7065,356665200.7371564
2631,361.59280228614807,9.627809625278996,1203.4762031598746,722085721895.9247,364122188.6782435
2634,362.1273853778839,9.647312617119809,1205.9140771399761,723548446283.9856,373370646.07056665
2637,362.28917932510376,9.653215284228631,1206.6519105285788,723991146317.1473,380389275.2818498
2640,362.81735849380493,9.672484644178304,1209.060580522288,725436348313.3729,381560921.9257938
2643,363.4815492630005,9.69671606367626,1212.0895079595325,727253704775.7195,376049500.36833704
2646,363.64093041419983,9.702530705664518,1212.8163382080647,727689802924.8389,367566732.15896255
2649,364.03515100479126,9.716912905701598,1214.6141132126997,728768467927.6199,361680070.5946778
2652,364.5434126853943,9.735455623499897,1216.9319529374873,730159171762.4923,361297770.5661166
2655,364.834632396698,9.74608008158928,1218.2600101986602,730956006119.196,365036184.9573171
2658,365.1803991794586,9.758694559763493,1219.8368199704366,731902091982.262,368435825.87716436
2661,365.740430355072,9.779125964380357,1222.3907455475446,733434447328.5267,366880997.56200707
2664,366.1701843738556,9.794804516978566,1224.3505646223207,734610338773.3923,359298429.5099143
2667,366.4565119743347,9.805250498047313,1225.6563122559141,735393787353.5485,349153323.22194207
2670,366.8745276927948,9.82050080669435,1227.5626008367938,736537560502.0763,341210697.6431968
2673,367.19132900238037,9.832058548515072,1229.007318564384,737404391138.6304,338339383.16946936
2676,367.60817861557007,9.847266314586548,1230.9082893233185,738544973593.9911,341577215.9227908
2679,367.9510884284973,9.85977656301573,1232.4720703769663,739483242226.1798,350569919.2521934
2682,368.26782035827637,9.87133177367933,1233.916471709916,740349883025.9497,361801410.76437736
2685,368.66911816596985,9.885972169139219,1235.7465211424026,741447912685.4414,368416266.5299369
2688,369.29238986968994,9.908710753917111,1238.588844239639,743153306543.7833,365639708.44956
2691,369.66610169410706,9.922344740429397,1240.2930925536746,744175855532.2047,356794197.6859158
2694,369.9231655597687,9.931723103778465,1241.465387972308,744879232783.3849,351014756.523253
2697,370.2388291358948,9.943239338101625,1242.9049172627033,745742950357.6218,353865806.64300185
2700,370.7127766609192,9.960530185598337,1245.066273199792,747039763919.8752,361776594.19998837
2703,371.06265139579773,9.973294532629005,1246.6618165786256,747997089947.1754,366376570.29108894
2706,371.6125054359436,9.993354648679032,1249.1693310848789,749501598650.9274,363457632.0615603
2709,372.0126597881317,10.007953327886131,1250.9941659857664,750596499591.4598,357019441.73824763
2712,372.31262612342834,10.018896885735694,1252.3621107169618,751417266430.1771,354149018.8702552
2715,372.49076318740845,10.025395792564321,1253.17447407054,751904684442.3241,356655311.7030235
2718,373.2033848762512,10.051394098904236,1256.4242623630296,753854557417.8177,359802453.47341204
2721,373.53077363967896,10.063338098781173,1257.9172623476468,754750357408.588,358989314.8732878
2724,373.8569474220276,10.07523777296499,1259.4047216206236,755642832972.3743,354535607.33921266
2727,374.25705885887146,10.089834886507889,1261.229360813486,756737616488.0917,349550684.41384935
2730,374.71137142181396,10.10640939914254,1263.3011748928175,757980704935.6906,346157460.07790136
2733,374.97319626808167,10.115961455538303,1264.495181942288,758697109165.3728,344446828.46723706
2736,375.39534640312195,10.131362598534716,1266.4203248168394,759852194890.1038,343015773.0426212
2739,375.7989733219147,10.14608796606998,1268.2609957587474,760956597455.2485,340157288.92749923
2742,376.1662483215332,10.159487120348572,1269.9358900435716,761961534026.1428,335577018.48641396
2745,376.5487389564514,10.173441380869187,1271.6801726086483,763008103565.189,330486363.9977369
2748,376.8550715446472,10.184617196304648,1273.077149538081,763846289722.8486,325031586.3413042
2751,377.1612730026245,10.195788227766165,1274.4735284707706,764684117082.4624,316609610.3878921
2754,377.7006163597107,10.215464886559271,1276.933110819909,766159866491.9454,302523701.76406443
2757,377.9741168022156,10.225442899296844,1278.1803624121058,766908217447.2634,284021302.43661934
2760,378.1587882041931,10.232180195896152,1279.0225244870192,767413514692.2114,266234754.22457585
2763,378.531311750412,10.245770830906375,1280.7213538632968,768432812317.9781,254516166.16289246
2766,378.76066064834595,10.254138079617107,1281.7672599521384,769060355971.283,251961847.41518396
2769,378.94228863716125,10.26076434453025,1282.5955430662812,769557325839.7688,259407563.55146062
2772,379.28981137275696,10.273442884464636,1284.1803605580797,770508216334.8478,275862671.9649498
2775,379.59401416778564,10.284540999465117,1285.5676249331398,771340574959.8838,298392103.7753561
2778,379.82128047943115,10.292832269971488,1286.604033746436,771962420247.8616,322148827.26155996
2781,380.3309714794159,10.311427133085772,1288.9283916357213,773357034981.4329,342102557.4078231
2784,380.7253677845001,10.325815743647937,1290.7269679559922,774436180773.5952,356193158.95754564
2787,381.1751039028168,10.342223295591955,1292.7779119489942,775666747169.3966,366047585.8193934
2790,381.3391623497009,10.348208577581717,1293.5260721977147,776115643318.6288,373515508.1944361
2793,382.00803565979004,10.372610828440134,1296.576353555017,777945812133.01,377979611.9105438
2796,382.4126534461975,10.387372345422143,1298.421543177768,779052925906.6608,378172251.88788676
2799,382.7063694000244,10.398087872979145,1299.7609841223932,779856590473.4359,374490183.45002276
2802,383.20248556137085,10.416187490412645,1302.0234363015807,781214061780.9484,368368784.0981061
2805,383.6059899330139,10.430908387106804,1303.8635483883504,782318129033.0103,361609196.4457018
2808,384.0067467689514,10.44552904649964,1305.6911308124552,783414678487.473,357117489.2641752
2811,384.34557461738586,10.457890374169022,1307.2362967711276,784341778062.6766,357538221.2552227
2814,384.6580719947815,10.469291097266778,1308.6613871583475,785196832295.0084,361430447.378764
2817,385.1241476535797,10.486294758458582,1310.786844807323,786472106884.3937,362646423.04455554
2820,385.6275107860565,10.504658764386614,1313.0823455483267,787849407328.996,355753555.5736424
2823,386.03345370292664,10.519468625599856,1314.933578199982,788960146919.9893,342111536.80665636
2826,386.2501378059387,10.527373829408972,1315.9217286761216,789553037205.6729,329824255.8007512
2829,386.76731419563293,10.546241779152231,1318.280222394029,790968133436.4174,327277462.3185021
2832,386.871036529541,10.550025841654753,1318.7532302068441,791251938124.1064,335370987.97190404
2835,387.2084515094757,10.562335624179424,1320.291953022428,792175171813.4568,345234373.0949434
2838,387.91335248947144,10.58805225883167,1323.5065323539588,794103919412.3752,345689592.30617785
2841,388.25313901901245,10.600448561699647,1325.056070212456,795033642127.4735,334749892.5526964
2844,388.59108304977417,10.612777645384648,1326.5972056730811,795958323403.8486,321955774.0404258
2847,388.73554825782776,10.618048114685879,1327.2560143357348,796353608601.4409,318070331.0205076
2850,389.1548345088959,10.633344775691363,1329.1680969614204,797500858176.8523,324471061.02804834
2853,389.53503704071045,10.647215560215727,1330.901945026966,798541167016.1794,333454697.16778994
2856,389.9428291320801,10.66209288415971,1332.7616105199638,799656966311.9783,336460501.32462555
2859,390.33118867874146,10.676261257957776,1334.532657244722,800719594346.8333,330933506.415907
2862,390.7236638069153,10.6905797789526,1336.322472369075,801793483421.445,321609116.55464065
2865,391.08644366264343,10.7038149386044,1337.97686732555,802786120395.33,316616072.1926474
2868,391.2041132450104,10.708107833273708,1338.5134791592134,803108087495.5281,320922093.05990726
2871,391.63848209381104,10.723954746962196,1340.4943433702745,804296606022.1648,332252297.58562714
2874,392.1747851371765,10.743520487144883,1342.9400608931105,805764036535.8662,342893177.02132
2877,392.3379874229431,10.749474534133862,1343.6843167667328,806210590060.0397,345032903.9004791
2880,392.8257374763489,10.767268934029751,1345.908616753719,807545170052.2313,335959504.45486206
2883,393.58557391166687,10.794989758027835,1349.3737197534795,809624231852.0876,320636908.83796465
2886,393.3133773803711,10.78505931538753,1348.132414423441,808879448654.0647,307874311.18997085
2889,393.8406538963318,10.804295744200202,1350.5369680250253,810322180815.0151,301781449.31710374
2892,394.251585483551,10.819287605178532,1352.4109506473167,811446570388.3899,299083012.69308126
2895,394.61120557785034,10.83240748845456,1354.05093605682,812430561634.092,295404646.22338134
2898,394.78781914711,10.838850814204095,1354.856351775512,812913811065.3071,290403011.85395855
2901,395.1719741821289,10.852865796401257,1356.608224550157,813964934730.0942,286323989.34015137
2904,395.5353226661682,10.866121701103706,1358.2652126379633,814959127582.778,285341148.7119529
2907,395.8026521205902,10.875874580027489,1359.484322503436,815690593502.0616,288702329.6377244
2910,395.909170627594,10.87976065425076,1359.970081781345,815982049068.807,295753525.15089643
2913,396.6336317062378,10.90619089255085,1363.2738615688563,817964316941.3137,303602342.33756125
2916,396.60615944862366,10.905188632613378,1363.1485790766721,817889147446.0034,308768012.70480746
2919,397.20274090766907,10.92695348733477,1365.8691859168462,819521511550.1077,308845148.6904418
2922,397.42304706573486,10.934990833202345,1366.8738541502933,820124312490.1759,303420199.1953717
2925,397.8840055465698,10.951807806334598,1368.9759757918248,821385585475.0948,295116796.511155
2928,398.117794752121,10.960337049101197,1370.0421311376497,822025278682.5897,289218705.510907
2931,398.35475039482117,10.968981811791336,1371.122726473917,822673635884.3501,290674820.3105898
2934,398.70504355430603,10.98176142404795,1372.7201780059938,823632106803.5962,300960998.65658826
2937,399.098082780838,10.996100524828865,1374.5125656036082,824707539362.1649,316993048.0846619
2940,399.2380442619324,11.001206686370466,1375.1508357963085,825090501477.785,331765177.0526453
2943,399.84589743614197,11.023382762793924,1377.9228453492406,826753707209.5442,337579617.91447055
2946,400.2807047367096,11.039245672351653,1379.9057090439567,827943425426.374,332095591.283612
2949,400.63358998298645,11.052119850725934,1381.5149813407418,828908988804.445,321152506.8563945
2952,400.78663301467896,11.057703261508157,1382.2129076885196,829327744613.1117,313077676.3977772
2955,401.20986247062683,11.073143780959196,1384.1429726198994,830485783571.9397,310440526.67565376
2958,401.5498330593109,11.085546798786963,1385.6933498483704,831416009909.0222,309166353.90382624
2961,401.9511580467224,11.100188185834178,1387.5235232292723,832514113937.5634,305001980.0420584
2964,402.2267291545868,11.11024174186939,1388.7802177336735,833268130640.2042,299140837.28891236
2967,402.63670778274536,11.125198836404351,1390.649854550544,834389912730.3264,297489257.68771195
2970,402.8190116882324,11.131849760528638,1391.4812200660797,834888732039.6478,304423624.40732956
2973,403.05755281448364,11.140552365812823,1392.569045726603,835541427435.9618,316949044.05847144
2976,403.5470840930939,11.158411749471139,1394.8014686838924,836880881210.3353,326382075.3687824
2979,404.12503480911255,11.179496905872746,1397.4371132340932,838462267940.456,326742395.36076504
2982,404.2386381626129,11.183641453859126,1397.9551817323909,838773109039.4344,319491045.9392817
2985,404.62214851379395,11.197632916300755,1399.7041145375943,839822468722.5566,309460920.8204095
2988,405.02552580833435,11.212349176889255,1401.5436471111568,840926188266.6941,299711922.60736305
2991,405.34578561782837,11.22403309384821,1403.0041367310262,841802482038.6157,292058718.8379598
2994,405.58607721328735,11.232799560835476,1404.0999451044345,842459967062.6606,289210432.0372438
2997,405.9191312789917,11.244950245783048,1405.6187807228812,843371268433.7286,293220427.9769904
3000,406.20475602149963,11.255370584751457,1406.9213230939324,844152793856.3593,302249472.56856686
3003,406.50480818748474,11.266317273929419,1408.2896592411773,844973795544.7064,310401662.46896166
3006,406.98994278907776,11.284016255290469,1410.5020319113084,846301219146.7852,311662298.4255501
3009,407.350816488266,11.297181873357399,1412.1477341696748,847288640501.8049,304333745.51426464
3012,407.59358263015747,11.306038618282049,1413.2548272852562,847952896371.1536,291597918.3060981
3015,407.9784166812897,11.320078372766105,1415.0097965957632,849005877957.4579,278444384.08786064
3018,408.1989586353302,11.328124321088644,1416.0155401360805,849609324081.6483,269176940.3776891
3021,408.5552773475647,11.34112376129704,1417.64047016213,850584282097.278,266973510.79372612
3024,408.7543611526489,11.348386860123432,1418.548357515429,851129014509.2573,272856073.9701522
3027,408.9936053752899,11.357115116206089,1419.639389525761,851783633715.4567,283597951.2108182
3030,409.40021896362305,11.37194944527152,1421.4936806589399,852896208395.364,292396270.85213023
3033,409.81037521362305,11.38691301991664,1423.3641274895801,854018476493.748,293929843.35717076
3036,410.0757715702057,11.39659537436636,1424.574421795795,854744653077.477,288960323.5051846
3039,410.43808817863464,11.40981363354294,1426.2267041928678,855736022515.7205,283245132.87394834
3042,410.6411793231964,11.417222930613052,1427.1528663266315,856291719795.9789,281889344.0272675
3045,410.95242524147034,11.428577997203115,1428.5722496503893,857143349790.2336,284805884.25197494
3048,411.2922914028168,11.440977205247997,1430.1221506559996,858073290393.5997,287443757.8372622
3051,411.64180994033813,11.453728557265807,1431.716069658226,859029641794.9355,285779694.2049557
3054,412.0441484451294,11.468406920082538,1433.5508650103175,860130519006.1904,280333455.6212622
3057,412.17397713661194,11.473143410910309,1434.1429263637885,860485755818.2731,275104999.5325927
3060,412.56912636756897,11.487559490181045,1435.9449362726305,861566961763.5784,273489503.9565406
3063,412.7795419692993,11.495236002639382,1436.904500329923,862142700197.9536,276425761.02623546
3066,413.2211272716522,11.511346191461193,1438.918273932649,863350964359.5895,283507596.74845225
3069,413.3535144329071,11.516176021969672,1439.522002746209,863713201647.7253,293270656.716772
3072,413.7376594543457,11.530190638845188,1441.2738298556485,864764297913.3892,302325197.8191731
3075,414.13271594047546,11.544603334541625,1443.0754168177032,865845250090.6218,307124113.86296326
3078,414.58014249801636,11.560926627657292,1445.1158284571613,867069497074.2969,307435384.3633862
3081,414.7362651824951,11.566622392242117,1445.8277990302647,867496679418.1587,305743381.98702615
3084,415.03867411613464,11.57765506247905,1447.206882809881,868324129685.9287,303048612.23582435
3087,415.59321665763855,11.5978862273429,1449.7357784178625,869841467050.7177,298142755.1359706
3090,415.8387517929077,11.606843992400973,1450.8554990501216,870513299430.073,291044164.38184667
3093,416.0063855648041,11.612959711614844,1451.6199639518554,870971978371.1133,284094730.8369192
3096,416.49603366851807,11.630823357359036,1453.8529196698796,872311751801.9277,279747331.3646292
3099,416.6870791912079,11.637793198582681,1454.7241498228352,872834489893.7012,279689922.30150557
3102,417.0435965061188,11.650799884337067,1456.3499855421333,873809991325.28,285022283.4989799
3105,417.2669379711151,11.658947966154235,1457.3684957692794,874421097461.5676,294332918.12908804
3108,417.54745602607727,11.669181999781006,1458.647749972626,875188649983.5754,302179824.6523055
3111,418.13846158981323,11.69074343123218,1461.3429289040225,876805757342.4135,302302625.94026953
3114,418.3505210876465,11.698479917327504,1462.3099896659378,877385993799.5627,292935088.80536884
3117,418.66462755203247,11.709939344134616,1463.7424180168268,878245450810.0962,278031187.7355157
3120,419.02821826934814,11.723204086141658,1465.4005107677074,879240306460.6244,264136001.64342195
3123,419.1951868534088,11.729295537560434,1466.1619421950543,879697165317.0325,256911348.54009557
3126,419.53825759887695,11.741811657230365,1467.7264571537958,880635874292.2773,258648216.40066516
3129,419.65050077438354,11.745906582359746,1468.2383227949683,880942993676.981,266791933.14111003
3132,420.08100032806396,11.761612334024358,1470.2015417530447,882120925051.8269,275680272.95193696
3135,420.4681918621063,11.775738095661787,1471.9672619577234,883180357174.634,281433657.2113978
3138,420.69312620162964,11.783944289715171,1472.9930362143964,883795821728.6378,284462647.8631309
3141,420.9735255241394,11.79417399167099,1474.2717489588738,884563049375.3242,286278600.409917
3144,421.28871059417725,11.805672768838322,1475.7090961047904,885425457662.8741,285739143.89575386
3147,421.7754714488983,11.823431080174409,1477.928885021801,886757331013.0806,280621152.9422089
3150,421.873836517334,11.827019695595995,1478.3774619494993,887026477169.6996,272178133.4285786
3153,422.40710377693176,11.846474682432818,1480.8093353041024,888485601182.4614,266073558.97468606
3156,422.45141768455505,11.848091369889215,1481.0114212361518,888606852741.6912,267683232.77317405
3159,422.68935656547546,11.856772003685798,1482.0965004607247,889257900276.4348,276528961.8233221
3162,423.1852159500122,11.8748622532285,1484.3577816535626,890614668992.1375,286341572.0975879
3165,423.4539065361023,11.88466478980182,1485.5830987252275,891349859235.1365,291064529.89396447
3168,423.7993412017822,11.897267151474752,1487.158393934344,892295036360.6063,289975731.78193504
3171,424.1347451210022,11.909503565235397,1488.6879456544248,893212767392.6548,287110717.52937186
3174,424.3466157913208,11.917233162408241,1489.6541453010302,893792487180.6182,287091306.8031248
3177,424.8129162788391,11.934245025940825,1491.7806282426031,895068376945.5619,291219200.081995
3180,424.83244347572327,11.934957429246117,1491.8696786557646,895121807193.4587,296054115.77755976
3183,425.4785339832306,11.958528503773422,1494.8160629716779,896889637783.0066,296165177.55438864
3186,425.77291536331177,11.969268307823656,1496.1585384779569,897695123086.7743,289518397.4114649
3189,426.0251033306122,11.978468785625228,1497.3085982031535,898385158921.8921,279360944.7954088
3192,426.282705783844,11.987866798060002,1498.4833497575005,899090009854.5001,270186157.4978276
3195,426.5981352329254,11.999374490815141,1499.9218113518925,899953086811.1356,263727679.3273047
3198,426.98146176338196,12.013359246995112,1501.6699058743889,901001943524.6334,259652532.60683382
3201,427.06922221183777,12.016560978094804,1502.0701222618504,901242073357.1102,257701558.41735214
3204,427.5187051296234,12.032959292620042,1504.1199115775053,902471946946.5032,257689098.89769775
3207,427.66655468940735,12.038353231939693,1504.7941539924616,902876492395.477,259101977.2543427
3210,428.06113147735596,12.05274842698963,1506.5935533737038,903956132024.2223,261976906.03932574
3213,428.3416407108307,12.062982138785427,1507.8727673481783,904723660408.907,266827492.99051678
3216,428.4402792453766,12.06658073096722,1508.3225913709025,904993554822.5415,272688301.37716013
3219,428.9804730415344,12.086288416005882,1510.7860520007353,906471631200.4412,276522295.1947715
3222,429.256733417511,12.09636711834777,1512.0458897934714,907227533876.0828,275675579.37400264
3225,429.4597969055176,12.103775406434286,1512.9719258042858,907783155482.5715,270194322.83786094
3228,429.8549540042877,12.118191772743458,1514.7739715929322,908864382955.7594,262602085.80680472
3231,430.1773579120636,12.12995391202546,1516.2442390031827,909746543401.9095,256594335.6387158
3234,430.2448914051056,12.132417710795268,1516.5522138494084,909931328309.6451,255237345.4786511
3237,430.7405278682709,12.150499827582268,1518.8124784477834,911287487068.6702,258489598.21766728
3240,430.7568416595459,12.151094997431535,1518.886874678942,911332124807.3651,262639766.8236904
3243,431.3289201259613,12.17196591878181,1521.4957398477263,912897443908.6357,263759883.8766418
3246,431.58544635772705,12.181324667837709,1522.6655834797136,913599350087.8281,261765771.6679005
3249,431.7120900154114,12.185944960287452,1523.2431200359315,913945872021.5588,259846190.9172269
3252,432.0800862312317,12.199370426422735,1524.9213033028418,914952781981.7051,260569063.87294066
3255,432.38722825050354,12.210575772024631,1526.3219715030789,915793182901.8474,264453185.24536598
3258,432.65623712539673,12.220389920607431,1527.5487400759291,916529244045.5574,271346268.4352701
3261,432.905681848526,12.229490317674102,1528.6862897092628,917211773825.5576,280230420.1559247
3264,433.20050024986267,12.240246065404769,1530.030758175596,918018454905.3577,287755967.67679703
3267,433.65745544433594,12.256916988161588,1532.1146235201986,919268774112.1191,289671243.9307018
3270,433.94117164611816,12.26726769856378,1533.4084623204726,920045077392.2834,284544316.29998696
3273,434.24567198753357,12.278376668836046,1534.7970836045058,920878250162.7035,275094335.9887157
3276,434.51882696151733,12.28834207797681,1536.0427597471014,921625655848.2609,266276628.7805629
3279,434.85616064071655,12.300648894437638,1537.5811118047047,922548667082.8229,263268070.25249738
3282,435.04273653030396,12.307455671734878,1538.4319589668598,923059175380.1158,270118725.3255104
3285,435.32949900627136,12.317917518200849,1539.7396897751062,923843813865.0636,287490503.11343485
3288,435.6305162906647,12.328899417427035,1541.1124271783792,924667456307.0276,310575818.93162596
3291,435.95123386383057,12.34060003480412,1542.5750043505152,925545002610.309,330634573.55540365
3294,436.5770745277405,12.363432341980637,1545.4290427475796,927257425648.5477,340505596.01413673
3297,436.75398874282837,12.369886636077705,1546.2358295097133,927741497705.8279,339562387.3433353
3300,437.3051919937134,12.389995974870548,1548.7494968588185,929249698115.2911,333617945.02823687
3303,437.55664229393005,12.399169540644152,1549.896192580519,929937715548.3114,329906687.00986195
3306,437.8291320800781,12.409110681989821,1551.1388352487277,930683301149.2366,331190774.2239866
3309,438.251962184906,12.424536632065669,1553.0670790082086,931840247404.9252,334164397.368026
