Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
2355,323.1143364906311,8.224014376124652,1028.0017970155816,616801078209.3489,386902434.3925489
2358,323.3921287059784,8.234148963980335,1029.2686204975419,617561172298.5251,385449093.40749407
2361,323.9547564983368,8.25467509997942,1031.8343874974275,619100632498.4565,385384620.4657904
2364,324.3100793361664,8.267638208080246,1033.4547760100309,620072865606.0186,382406174.70775384
2367,324.8213002681732,8.28628888712325,1035.7861108904065,621471666534.2438,375718241.56619227
2370,325.19448733329773,8.299903729041628,1037.4879661302036,622492779678.1221,369837422.6855809
2373,325.57278990745544,8.313705198132617,1039.213149766577,623527889859.9463,371570938.98901534
2376,325.8919837474823,8.325350225732475,1040.6687782165593,624401266929.9357,383651576.3656093
2379,326.27581906318665,8.339353543731349,1042.4191929664184,625451515779.8511,400499012.3242307
2382,326.8185646533966,8.359154324902956,1044.8942906128693,626936574367.7218,411460603.5616169
2385,327.42900371551514,8.381424741292586,1047.6780926615734,628606855596.9438,409852110.12547094
2388,327.80190348625183,8.395029101958958,1049.3786377448698,629627182646.9219,398966264.3133899
2391,328.20603680610657,8.409772944331777,1051.221618041472,630732970824.8833,388640010.61569345
2394,328.6261668205261,8.425100388035057,1053.137548504382,631882529102.6293,385991078.03398013
2397,328.8380858898163,8.432831750929193,1054.1039688661492,632462381319.6895,389851664.64261913
2400,329.5458836555481,8.458654067914921,1057.3317584893653,634399055093.6191,394278245.0420145
2403,329.9579930305481,8.4736888976774,1059.211112209675,635526667325.805,396224968.9019659
2406,330.3016872406006,8.4862277629689,1060.7784703711125,636467082222.6675,397439589.1176807
2409,330.66627049446106,8.49952871530963,1062.4410894137038,637464653648.2223,399123364.352756
2412,331.2377152442932,8.520376517018553,1065.0470646273193,639028238776.3915,398468137.32572424
2415,331.6957993507385,8.53708862544196,1067.1360781802452,640281646908.147,392358440.82821786
2418,332.0889422893524,8.551431509911358,1068.9289387389197,641357363243.3519,382297070.79820454
2421,332.5275902748108,8.567434537716831,1070.929317214604,642557590328.7623,373866749.42617214
2424,332.85585165023804,8.57941037276583,1072.4262965957287,643455777957.4373,372157857.96086615
